,Train,Validation,Test
accuracy,0.8752671860994277,0.8753223229011287,0.8711620901401923
precision,0.8751339162478147,0.8721187346406644,0.8710488523463567
recall,0.8752671860994277,0.8347333587883415,0.8711620901401923
f1,0.8749394950802856,0.8530135206815768,0.8708561953293676
