,Train,Validation,Test
accuracy,1.0,0.9445606357990927,0.9445409956358861
precision,1.0,0.9447036891455044,0.9447778907680593
recall,1.0,0.9445606357990927,0.9445409956358861
f1,1.0,0.9444444432151429,0.9444174653158077
