,Train,Validation,Test
accuracy,1.0,0.9507384407477718,0.9553547290773569
precision,1.0,0.9508660463456472,0.9554586304310896
recall,1.0,0.9507384407477718,0.9553547290773569
f1,1.0,0.9506450733316885,0.9552878570149588
