,Train,Validation,Test
accuracy,0.978087292284355,0.9620216506929602,0.9626153786737728
precision,0.9781954578749543,0.9709041568212824,0.9628189921079199
recall,0.978087292284355,0.9405625816458695,0.9626153786737728
f1,0.9780582782678384,0.9554894740531555,0.9625477283767007
