,train,val,test
R²,0.09317140761274356,0.06757571223420167,0.08828193754812452
RMSE,20.820073412693034,21.100792039126112,20.87284637086424
MAE,16.471971837686485,16.738539783693312,16.541496752693874
MAPE,8.372689165744584,8.56031276843669,8.428237504187727
MPE,-814.4968973367561,-832.9656408757728,-819.9561595431268
