,Train,Validation,Test
accuracy,0.9570157898365855,0.9279108877815687,0.9293631483412506
precision,0.9575902651810234,0.9296324950918811,0.9309912482911938
recall,0.9570157898365855,0.9279108877815687,0.9293631483412506
f1,0.9568742574614321,0.927441091677365,0.9289556570498464
